,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
307457,2016,21,Puebla,21171,Tepeyahualco de Cuauhtémoc,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
307555,2016,21,Puebla,21172,Tetela de Ocampo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
307653,2016,21,Puebla,21173,Teteles de Avila Castillo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,0,0,0,0,0,0,0,0,0,0,0
307751,2016,21,Puebla,21174,Teziutlán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,3,1,2,0,1,1,2,1,2,0,2
307849,2016,21,Puebla,21175,Tianguismanalco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
307947,2016,21,Puebla,21176,Tilapa,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,2,0,0,0,0,1,0,0
308045,2016,21,Puebla,21177,Tlacotepec de Benito Juárez,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,1,0,0,0,0,0,0,0
308143,2016,21,Puebla,21178,Tlacuilotepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
308241,2016,21,Puebla,21179,Tlachichuca,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,0,1,0,0,1,0,0,0,0
308339,2016,21,Puebla,21180,Tlahuapan,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,0,0,1,0,0,0,0,1,0
308437,2016,21,Puebla,21181,Tlaltenango,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
308535,2016,21,Puebla,21182,Tlanepantla,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,0,0,0,0,0,0,0,0,0
308633,2016,21,Puebla,21183,Tlaola,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
308731,2016,21,Puebla,21184,Tlapacoya,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
308829,2016,21,Puebla,21185,Tlapanalá,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,0,0,0,0,2,0,0,0,0
308927,2016,21,Puebla,21186,Tlatlauquitepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,1,0,1,0,1,0,2,2,1
309025,2016,21,Puebla,21187,Tlaxco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
309123,2016,21,Puebla,21188,Tochimilco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,0,0,0,0,0,0,0,0,0
309221,2016,21,Puebla,21189,Tochtepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,1,0,0,0,0,0,0,0
309319,2016,21,Puebla,21190,Totoltepec de Guerrero,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
309417,2016,21,Puebla,21191,Tulcingo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
309515,2016,21,Puebla,21192,Tuzamapan de Galeana,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
309613,2016,21,Puebla,21193,Tzicatlacoyan,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
309711,2016,21,Puebla,21194,Venustiano Carranza,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
309809,2016,21,Puebla,21195,Vicente Guerrero,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
309907,2016,21,Puebla,21196,Xayacatlán de Bravo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
310005,2016,21,Puebla,21197,Xicotepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,1,0,0,0,0,0,0
310103,2016,21,Puebla,21198,Xicotlán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
310201,2016,21,Puebla,21199,Xiutetelco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,1,0,0,0,0,0,0,0
310299,2016,21,Puebla,21200,Xochiapulco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
310397,2016,21,Puebla,21201,Xochiltepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
310495,2016,21,Puebla,21202,Xochitlán de Vicente Suárez,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
310593,2016,21,Puebla,21203,Xochitlán Todos Santos,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
